irradiance,ambient temp,wind speed,relative humidity,pressure
0,15.997,4.0418,79.62,993.81
0,15.892,4.1253,79.86,993.82
0,15.786,4.2088,80.1,993.83
0,15.681,4.2923,80.34,993.84
0,15.576,4.3758,80.58,993.85
0,15.47,4.4593,80.82,993.86
0,15.365,4.5428,81.061,993.87
0,15.259,4.6263,81.301,993.88
0,15.154,4.7098,81.541,993.89
0,15.048,4.7933,81.781,993.9
0,14.943,4.8768,82.021,993.91
0,14.838,4.9603,82.261,993.92
0,14.732,5.0438,82.501,993.93
0,14.627,5.1273,82.741,993.94
0,14.521,5.2109,82.981,993.95
0,14.416,5.2944,83.221,993.96
0,14.31,5.3779,83.461,993.97
0,14.205,5.4614,83.701,993.98
0,14.1,5.5449,83.942,993.99
0,13.994,5.6284,84.182,994
0,13.889,5.7119,84.422,994.01
0,13.783,5.7954,84.662,994.02
0,13.678,5.8789,84.902,994.03
0,13.572,5.9624,85.142,994.05
0,13.467,6.0459,85.382,994.06
0,13.362,6.1294,85.622,994.07
0,13.256,6.2129,85.862,994.08
0,13.151,6.2965,86.102,994.09
0,13.045,6.38,86.342,994.1
0,12.94,6.4635,86.582,994.11
0,12.834,6.547,86.823,994.12
0,12.729,6.6305,87.063,994.13
0,12.624,6.714,87.303,994.14
0,12.518,6.7975,87.543,994.15
0,12.413,6.881,87.783,994.16
0,12.307,6.9645,88.023,994.17
0,12.202,7.048,88.263,994.18
0,12.096,7.1315,88.503,994.19
0,11.991,7.215,88.743,994.2
0,11.886,7.2985,88.983,994.21
0,11.78,7.382,89.223,994.22
0,11.675,7.4656,89.463,994.23
0,11.569,7.5491,89.704,994.24
0,11.464,7.6326,89.944,994.25
0,11.358,7.7161,90.184,994.26
0,11.253,7.7996,90.424,994.27
0,11.148,7.8831,90.664,994.29
0,11.042,7.9666,90.904,994.3
0,11.04,5,90.8,994.22
0,10.8,3.4,91.6,994.08
0,10.28,7.4,92,994
0,9.88,6.8,92.4,994
0,9.56,8,92.4,994.08
0,9.56,8.6,93.4,994.24
0,9.48,8.6,94.6,994.3
0,9.52,8,95,994.32
1.35,9.4,8.8,95.4,994.46
2.542,9.42,9,95.2,994.5
4.082,9.54,9,94.6,994.46
6.466,9.54,8.2,95,994.46
9.844,9.22,8.8,94.4,994.5
14.564,9.4,9.4,93,994.36
20.312,9.82,10.6,93,994.4
30.142,9.96,12.2,94.2,994.4
40.088,10,11.4,94.6,994.42
55.588,9.9,12.2,95,994.5
69.614,9.98,9.8,94.6,994.5
80.628,10.34,8.8,94.8,994.42
96.88,10.64,8.4,94.8,994.46
113.7,10.66,4.2,94.6,994.58
125.65,10.44,5.6,95,994.7
119.96,10.58,6.2,95.4,994.7
118.73,10.74,6.2,94.8,994.76
89.282,10.78,9,95.4,994.86
77.654,11.04,9,95.2,994.98
96.83,11.44,7.6,94.4,994.9
116.45,11.92,3,93.6,994.86
142.14,12.52,0,90.4,994.78
148.78,12.68,0,89.2,994.76
144.63,12.86,0,88.6,994.92
133.31,13.08,7,88.4,995
146.01,13.1,6.2,87.8,994.9
168.12,13.16,4,86,994.92
175.34,13.32,5.4,85.4,995
183.38,13.44,6.8,84.4,995.08
186.02,13.64,7.4,85.8,995.1
209.66,13.82,8,84.2,995.1
226.75,13.94,6.2,84.4,995.18
240.71,14.04,5.6,82.8,995.18
275.96,14.04,5.4,81.4,995.1
309.16,14.44,2,80,995
310.99,14.5,0,78.2,994.94
318.14,14.66,4.2,76.2,995
261.43,14.66,2.6,74.6,995
225.97,14.62,2.8,74,995
401.15,14.84,8.2,73.2,994.98
347.14,15.2,6.4,71,994.92
289.68,15.12,6.2,72.2,995
382.53,15.16,8.4,71.4,995.02
552.25,15.64,6.4,71.4,995
616.44,15.66,7.4,70.8,995
666.02,15.96,7.6,70,994.94
646.56,16.14,4.2,68.4,994.8
656.56,16.46,7.2,66.6,994.72
661.51,16.64,7.4,67.2,994.7
649.55,16.96,5.4,66,994.7
635.28,16.7,2.6,65.8,994.68
652.52,17.04,5.6,65,994.58
688.06,17.16,5,63.6,994.64
704.46,17.48,9.2,63,994.62
727.22,17.16,6.2,63,994.6
724.57,17.5,8.6,63.4,994.5
743.02,18.12,7.6,62.2,994.46
762.9,17.88,10.4,61.8,994.32
705.05,18.3,7.6,60,994.3
710.15,18.04,7,61,994.3
740.01,18.28,8.4,59.8,994.32
798.85,18.5,7.8,59.8,994.36
845.74,18.78,8.4,58.6,994.24
885.37,18.88,8.8,57.2,994.2
844.83,19.16,7.2,58.4,994.26
823.08,19.28,7.4,57.4,994.3
851.46,19.26,9.6,55.6,994.3
840.61,19.32,7.8,56.8,994.3
856.48,19.54,7.8,56,994.24
880.82,19.96,8.6,54.8,994.16
884.61,19.8,7.6,54.8,994.1
943.84,19.94,7.8,55.8,994
939.81,20.62,6,55.6,994
934.86,20.62,7.2,53.4,993.96
872.9,20.34,8.2,54,993.9
912.74,20.36,9.4,54.4,993.9
960.09,20.52,9.2,53.6,993.9
962.27,20.74,8.2,53.8,993.9
951.46,21.28,7.8,52,993.86
925.81,21.02,8.8,52.4,993.68
924.56,21.22,7.4,52.4,993.54
847.08,21.56,5.2,52.2,993.48
914.26,21.22,7,51.2,993.5
977.62,21.46,10.6,51.4,993.42
1070.5,21.7,11,50.8,993.4
1052.3,22.02,9.2,51.8,993.32
1059,22,11,50.4,993.28
1063,21.86,8,50.6,993.1
1058.3,22.24,10.8,50,992.98
1069.1,22.44,12,49.2,993
1062.2,22.22,10.4,49.2,993
1060.1,22.36,8.6,49.4,993
1055.2,22.4,9.8,48.4,992.88
1056.5,22.76,9,47.2,992.8
1053.6,22.78,5.8,47.6,992.78
1069.4,23.22,6.6,47.6,992.7
1058.3,23.1,5.6,45.8,992.62
1031.2,23.68,8.6,45.8,992.44
1072.9,24.04,10.6,46.8,992.48
931.48,23.42,10.2,46.8,992.36
990.34,23.74,9.8,46.8,992.3
459.76,22.68,15.2,48.6,992.3
915.37,22.92,19.2,48.8,992.2
855.17,23.18,23.2,47.6,992.2
646.96,22.84,21.2,48.6,992.18
619.39,22.34,20.4,49.2,992.1
655.64,22.74,20.8,49,992.1
700.92,22.88,22.4,47.8,992.08
704.73,22.86,21,48.2,991.96
712.84,23.02,20,48.4,991.9
1103.9,23.56,22,47.2,991.72
1232,24.08,25.2,46,991.6
1005.6,23.76,26,46.6,991.5
1153,23.82,23.8,46.8,991.5
1099.1,23.58,24.2,46.4,991.5
962.16,23.68,22.2,46.6,991.5
936.35,23.52,22.2,46.6,991.54
529,23.06,21.2,47.4,991.5
530.98,22.66,18,48.4,991.6
912.19,23.52,15,47.8,991.48
875.8,23.54,19,46.6,991.3
835.27,23.76,17.2,46.4,991.1
603.05,23.52,20.2,46,990.9
749.34,23.4,20.2,47,991
740.38,23.28,20,47.8,990.98
738.05,23.3,21,48,991.04
738.07,23.08,18.2,47.8,991.1
523.33,22.64,18.8,48.8,991.04
553.08,23,17.6,48.8,991.02
423.51,22.32,20.4,49.2,991
366.15,22,19.2,51.4,991.02
360.95,21.7,19.8,52.6,990.9
408.43,21.86,17.6,53,990.98
362.88,21.42,21.2,53.4,991
364.39,21.24,18,53.6,991
382.24,21.26,18,53.6,990.94
350.62,21.16,19.6,54,990.9
394.96,20.86,18.8,55,990.96
542.13,20.84,20.2,54,990.94
386.32,20.78,18.6,54.4,990.84
284.47,20.34,17.6,55.2,990.8
240.53,20.36,17.8,55.8,990.76
205.63,20.08,16.6,56.8,990.72
185.64,19.96,13.8,56.2,990.74
193.58,20.02,15,56.6,990.7
186.28,19.88,16.4,56.2,990.7
207.42,19.94,16.6,55.6,990.7
185.72,19.96,16.8,55.4,990.68
162.31,19.82,17,55.6,990.86
148.54,19.78,17.2,57.2,991.06
183.73,19.8,17.8,57.2,991.18
201.83,19.8,17.6,56,991.26
198.27,19.88,17,56.4,991.24
183.68,19.76,19.6,54.6,991.22
154.48,19.68,17.4,55.4,991.18
130.6,19.5,17.4,56.4,991.18
143.88,19.54,17,56.4,991.1
149.86,19.5,17,56.6,991.14
164.2,19.42,15.6,56.2,991.32
223.8,19.48,16.2,54,991.36
247.24,19.54,17,54,991.4
302.34,19.82,18,56.4,991.56
266.45,19.38,19.4,56.8,991.68
225.75,19.16,20,56.4,991.7
195.97,19.02,17.4,57.4,991.78
166.05,18.94,14.2,57.4,991.9
136.01,18.9,14.6,57.4,992
109.97,18.9,13,57.4,992.02
91.95,18.74,13.8,57.8,992.1
75.048,18.64,13.4,58.6,992.2
60.484,18.56,12.6,59,992.22
48.786,18.38,15,59.6,992.38
39.402,18.24,14.2,60,992.48
29.808,17.96,12.2,62.6,992.5
21.456,17.7,11.8,64,992.5
14.708,17.52,13.4,64,992.54
10.232,17.24,14.6,65,992.6
6.642,16.9,15,65.8,992.58
4.624,16.62,16.8,66.8,992.56
3.036,16.32,14.6,68,992.7
1.75,16.08,13,70,992.76
0.2,15.82,10.6,73,992.9
0,15.6,11,74,992.98
0,15.58,9.4,74.2,993
0,15.42,10.2,75,993.12
0,15.34,10.6,74.4,993.2
0,15.36,11,74.4,993.2
0,15.2,12.2,74.8,993.26
0,14.76,10.6,79.2,993.36
0,14.74,11,78.2,993.4
0,14.78,12.6,77.4,993.54
0,14.58,12.6,78.8,993.6
0,14.16,9.2,81.4,993.64
0,13.96,9,82.4,993.7
0,13.82,8,83.8,993.82
0,13.74,9.2,84,993.9
0,13.8,13.4,83.4,993.82
0,13.92,11.8,82.8,993.82
0,13.88,9.2,83.2,993.94
0,13.54,9,84.8,993.94
0,13.3,8.4,86.4,993.9
0,13.26,7.4,87,993.98
0,13.38,8.4,86.2,994
0,13.28,8,86.8,994.08
0,13.02,8.4,87,994.1
0,12.96,9,87.6,994.14
0,13.06,9,87.6,994.1
0,13.1,9.4,87.2,994.1
0,13.02,9.8,87.4,994.16
0,12.9,9.4,88,994.14
0,12.84,9.2,88.6,994.1
0,12.8,9.4,88.6,994.14
0,12.84,10.6,88,994.2
0,12.64,10.6,88.8,994.2
0,12.66,10.6,88.4,994.22
0,12.66,11.4,88.6,994.3
0,12.64,12.2,88.4,994.4
0,12.6,11.8,87.8,994.34
0,12.5,9.2,89.2,994.22
0,12.44,9,89.6,994.2
0,12.44,8,89,994.2
0,12.12,10.2,89.2,994.26
0,11.82,11,90.2,994.3
0,11.54,11.8,91,994.24
0,11.5,11,90.8,994.3
0,11.48,11,91.4,994.3
0,11.34,12.6,91.4,994.3
0,11.26,11,91.4,994.3
0,11.24,12.2,91,994.3
0,11.24,13,91.6,994.3
0,11.32,11,90.8,994.24
0,11.38,11,90.8,994.12
0,11.38,11,91,994.1
0,11.26,12.6,91,994.1
0,11.2,11.8,91,994.18
0,11.26,12.2,90.6,994.24
0,11.28,11,90.4,994.24
0,11.2,11,90.8,994.22
0,11.2,11.4,91,994.3
0,11.16,11.4,91,994.3
0,11.2,11,91,994.3
0,11.16,11,91.2,994.3
0,11.06,11,91.4,994.3
0,10.94,11,91.8,994.2
0,10.92,11.4,92,994.3
0,11.12,12.6,92.4,994.3
0,11.48,13,93.4,994.32
0,11.7,11.8,91,994.22
0,11.64,11.4,91.4,994.2
0,11.7,12.6,91,994.14
0,11.8,11,90,994.1
0,11.8,11,90,994.1
0,11.8,11.4,90,994
0,11.8,11.8,90,994
0,11.78,11.4,90.2,994
0,11.74,9.4,89.8,994
0,11.76,9.4,89.4,994
0,11.68,10.2,89.8,993.92
0,11.5,11,89.8,993.78
0,11.52,11.8,89.6,993.72
0,11.58,11,89.2,993.7
0,11.52,13,89.2,993.76
0,11.54,13,90.2,993.8
0,11.76,11.4,90,993.88
0,11.98,11,89.6,993.9
0,12.18,11,89.4,993.9
0,12.28,11.4,88.2,993.8
0,12.32,10.2,88.4,993.8
0,12.36,11.8,88,993.8
0,12.42,12.2,87.8,993.84
0,12.52,11.8,86.8,993.9
0,12.58,11.8,86.2,994
0,12.6,11,87,994
0,12.6,11.8,87,994
0,12.6,9.4,87.2,994
0,12.6,8.2,87.2,994
0,12.68,9.4,87,994.08
0,12.7,9.4,87,994.1
0,12.7,9,87.2,994.1
0,12.76,11,87.4,994.16
0,12.8,11,87,994.32
0,12.82,11,87,994.4
0,12.84,10.6,86.4,994.48
0,12.9,11,86.8,994.56
0,12.9,11,87.2,994.6
0,12.86,9,88.4,994.6
0,12.92,11,87.4,994.7
0.224,13,11.8,86,994.78
1.732,13,11.4,85.2,994.84
1.46,13,11.4,85.8,994.9
1.794,13,11.8,86,995
2.51,13.1,13.4,85,995.12
3.492,13.1,12.2,84.6,995.2
4.216,13.16,12.2,84.2,995.3
5.348,13.2,11,84,995.38
7.9,13.2,10.2,84,995.4
11.65,13.2,8.6,84.2,995.42
16.044,13.22,8.4,84.8,995.5
20.898,13.3,8.6,85,995.5
24.146,13.34,10,85,995.56
27.512,13.4,11.8,84,995.6
25.698,13.4,11,84,995.66
33.878,13.44,10.6,83.4,995.74
39.488,13.5,11,83.2,995.88
38.482,13.54,11.8,83.2,996.04
45.894,13.62,12.2,82.8,996.18
50.248,13.7,13.8,82.4,996.3
54.41,13.78,13,82,996.34
58.22,13.84,12.2,81,996.46
71.092,13.96,15.4,79.6,996.6
71.712,14.02,16.6,77.8,996.7
80.574,14.1,17,76.4,996.76
75.8,14.1,16.8,76,996.8
87.012,14.16,18.8,72.2,996.9
110.81,14.3,14.2,71,996.9
117.88,14.44,12.2,70.6,996.9
132.76,14.52,13,70.6,996.9
145.41,14.6,13.4,69.6,996.98
175.34,14.76,12.6,69.4,997
210.58,14.76,15.6,68,997
205.07,14.84,15,68.2,997
192.25,14.78,12.2,66.6,997
202.54,14.84,14.2,65.8,997.04
246.46,14.96,12.6,65,997.1
382.54,15.4,13,63,997.2
332.91,15.24,11.4,62.4,997.24
355.18,15.42,14.2,62.2,997.3
488.49,15.78,17.2,62.4,997.38
448.75,15.92,16.2,62,997.4
719.94,16.18,15.6,60.2,997.4
811.57,16.48,15.6,58.8,997.4
641.51,16.52,17.2,55.2,997.46
676.31,16.54,15.8,55.6,997.44
644.01,16.94,16.6,54.4,997.5
772.96,16.76,19.2,53,997.56
780.93,16.72,13.4,54.4,997.66
575.54,17.18,20.4,53.6,997.76
865.22,17.12,20.2,52.8,997.8
854.42,17.44,17.6,51.8,997.84
860.7,17.28,20.2,50.6,997.9
829.61,17.12,16,52,997.9
831.14,17.6,11.6,51.4,997.9
860.16,17.84,17,51.2,997.9
896.8,17.96,13.8,51.4,997.9
811.08,18.34,15.2,49.2,997.92
579.87,17.96,17,49,997.94
717.17,18.2,14.6,47.8,998
741.55,17.8,13,49.8,998
966.19,18.32,13.8,49,998
957.47,18.6,15.4,46.6,998.04
1016.3,18.92,14.8,47,998.1
894.42,18.8,14.6,46.6,998.1
853.38,18.9,16.6,46.4,998.1
1064.8,19.06,15.8,45.6,998.1
729.09,18.98,10.8,46,998.14
417.36,18.6,13,46.4,998.2
825.89,18.82,13,45,998.2
618.11,18.86,9.2,46.4,998.2
1219.4,19.54,11.8,44.8,998.2
